the_geom,ObjectID,Location,Address,Zip Code,Phone,Hours,Sunday Hours,Computers,Kids PC Area,Teen PC Area,Internet,WiFi,Printing,Support Available,Support Type,Restrictions,Device Rental Program,Device Rental Type,Device Rental Requirements,Device Rental Restrictions,Classes Available
POINT (-90.101872057386 29.97491327785),7,Mid-City Branch,4140 Canal Street,70119,(504) 596-2654,"10 a.m. - 8 p.m., Mon.- Thurs.
10 a.m. - 5 p.m. Fri. -Sat",No,12,No,No,Yes,Yes,Yes,Yes,Limited,,Yes,iPad,18+,In-House Only,None
POINT (-90.013800108486 29.966383690636),6,Martin Luther King Branch,1611 Caffin Avenue,70117,(504) 596-2695,"10 a.m. - 8 p.m., Mon. - Thurs.
10 a.m. - 5 p.m. Fri. - Sat",No,12,No,No,Yes,Yes,Yes,Yes,Partial,,Yes,iPad,18+,In-House Only,Basic Computing
POINT (-90.013637780585 29.922729858452),9,Algiers Regional Branch,3014 Holiday Drive,70131,(504) 596-2641,"10 a.m. - 8 p.m., Mon.- Thurs.
10 a.m. - 5 p.m. Fri. -Sat. 
1 p.m. - 5 p.m. Sun.",Yes,46,Yes,No,Yes,Yes,Yes,Yes,Full-Time,,Yes,iPad,18+,In-House Only,None
POINT (-90.101057739914 29.921354322638),2,Children's Resource Center,913 Napoleon Avenue,70115,(504) 596-2628,"10 a.m. – 8 p.m., Mon. - Thu.
10 a.m. - 5 p.m.  Fri. -Sat.",No,5,No,No,Yes,Yes,Yes,Yes,As Needed,,Yes,iPad,18+,In-House Only,None
POINT (-90.107558120658 30.004961193384),14,Robert E. Smith Branch,6301 Canal Blvd,70124,(504) 596-2638,"10 a.m. - 8 p.m Mon-Thurs. 
10 a.m. - 5 p.m Fri.-Sat. 
1 p.m. - 5 p.m. Sun.",Yes,21,Yes,No,Yes,Yes,Yes,Yes,Full-Time,,Yes,iPad,18+,In-House Only,None
POINT (-90.036747168024 29.963914263523),3,Alvar Branch,913 Alvar Street,70117,(504) 596-2667,"10 a.m. - 8 p.m., Mon. - Thurs.
10 a.m. - 5 p.m. Fri. - Sat",No,14,Yes,No,Yes,Yes,Yes,Yes,As Needed,,Yes,iPad,18+,In-House Only,None
POINT (-89.972060187576 30.032258802137),10,New Orleans East Regional Branch,5641 Read Blvd.,70127,(504) 596-0200,"10 a.m. - 8 p.m., Mon. - Thurs.
10 a.m. - 5 p.m., Fri. -Sat.
1 p.m. -5 p.m., Sun",Yes,45,Yes,No,Yes,Yes,Yes,Yes,Full-Time,,Yes,iPad,18+,In-House Only,Basic Computing
POINT (-90.127869185693 29.948652362038),8,Nix Branch,1401 S. Carrollton Avenue,70118,(504) 596-2630,"10 a.m - 8 p.m., Mon. - Thurs.
10 a.m. - 5 p.m., Fri. - Sat",No,6,No,No,Yes,Yes,Yes,Yes,Limited,,Yes,iPad,18+,In-House Only,None
POINT (-90.110248239452 29.926647086628),5,Milton H. Memorial Latter Branch,5120 St. Charles Avenue,70115,(504) 596-2625,"10a.m. - 8 p.m., Mon. - Thurs.
10 a.m. - 5 p.m., Fri. - Sat.
1 p.m. - 5 p.m., Sun.",Yes,6,No,No,Yes,Yes,Yes,Yes,Full-Time,Closed Due to Renovations,Yes,iPad,18+,In-House Only,None
POINT (-90.079215131633 29.96620226909),16,Sojourner Truth,2200 Lafitte St,70119,(504) 827-9963,"8 am to 7 pm Mon -Fri. 
9 am to 1 pm Saturdays",No,20,No,No,Yes,Yes,Must bring flash drive (not self-service),Yes,As Needed,Unattended teens must be 12+,No,No,No,No,Basic Computing and Resume Building
